UserID is: 1, Gender is: F,  Occupation id is: 10, Zip-code is: 48067, 
UserID is: 73, Gender is: M,  Occupation id is: 4, Zip-code is: 53706, 
UserID is: 74, Gender is: M,  Occupation id is: 14, Zip-code is: 94530, 
UserID is: 75, Gender is: F,  Occupation id is: 10, Zip-code is: 01748, 
UserID is: 76, Gender is: M,  Occupation id is: 7, Zip-code is: 55413, 
UserID is: 77, Gender is: M,  Occupation id is: 4, Zip-code is: 15321, 
UserID is: 78, Gender is: F,  Occupation id is: 1, Zip-code is: 98029, 
UserID is: 79, Gender is: F,  Occupation id is: 0, Zip-code is: 98103, 
UserID is: 80, Gender is: M,  Occupation id is: 1, Zip-code is: 49327, 
UserID is: 81, Gender is: F,  Occupation id is: 0, Zip-code is: 60640, 
UserID is: 82, Gender is: M,  Occupation id is: 17, Zip-code is: 48380, 
UserID is: 83, Gender is: F,  Occupation id is: 2, Zip-code is: 94609, 
UserID is: 84, Gender is: M,  Occupation id is: 4, Zip-code is: 53140, 
UserID is: 85, Gender is: M,  Occupation id is: 4, Zip-code is: 94945, 
UserID is: 86, Gender is: F,  Occupation id is: 10, Zip-code is: 54467, 
UserID is: 87, Gender is: M,  Occupation id is: 14, Zip-code is: 48360, 
UserID is: 88, Gender is: F,  Occupation id is: 1, Zip-code is: 02476, 
UserID is: 89, Gender is: F,  Occupation id is: 9, Zip-code is: 85749, 
UserID is: 90, Gender is: M,  Occupation id is: 13, Zip-code is: 85749, 
UserID is: 91, Gender is: M,  Occupation id is: 7, Zip-code is: 07650, 
UserID is: 92, Gender is: F,  Occupation id is: 4, Zip-code is: 44243, 
UserID is: 93, Gender is: M,  Occupation id is: 17, Zip-code is: 95825, 
UserID is: 94, Gender is: M,  Occupation id is: 17, Zip-code is: 28601, 
UserID is: 95, Gender is: M,  Occupation id is: 0, Zip-code is: 98201, 
UserID is: 96, Gender is: F,  Occupation id is: 16, Zip-code is: 78028, 
UserID is: 97, Gender is: F,  Occupation id is: 3, Zip-code is: 66210, 
UserID is: 98, Gender is: F,  Occupation id is: 7, Zip-code is: 33547, 
UserID is: 99, Gender is: F,  Occupation id is: 10, Zip-code is: 19390, 
UserID is: 100, Gender is: M,  Occupation id is: 17, Zip-code is: 95401, 
UserID is: 101, Gender is: F,  Occupation id is: 3, Zip-code is: 33314, 
UserID is: 102, Gender is: M,  Occupation id is: 19, Zip-code is: 20871, 
UserID is: 103, Gender is: M,  Occupation id is: 7, Zip-code is: 92104, 
UserID is: 104, Gender is: M,  Occupation id is: 12, Zip-code is: 00926, 
UserID is: 105, Gender is: M,  Occupation id is: 12, Zip-code is: 90277, 
UserID is: 106, Gender is: F,  Occupation id is: 11, Zip-code is: 79101, 
UserID is: 107, Gender is: M,  Occupation id is: 18, Zip-code is: 63129, 
UserID is: 108, Gender is: M,  Occupation id is: 12, Zip-code is: 30316, 
UserID is: 109, Gender is: M,  Occupation id is: 15, Zip-code is: 92028, 
UserID is: 110, Gender is: M,  Occupation id is: 2, Zip-code is: 90803, 
UserID is: 111, Gender is: M,  Occupation id is: 15, Zip-code is: 55416, 
UserID is: 112, Gender is: M,  Occupation id is: 16, Zip-code is: 97209, 
UserID is: 113, Gender is: M,  Occupation id is: 12, Zip-code is: 37032, 
UserID is: 114, Gender is: F,  Occupation id is: 2, Zip-code is: 83712, 
UserID is: 115, Gender is: M,  Occupation id is: 17, Zip-code is: 28083, 
UserID is: 116, Gender is: M,  Occupation id is: 17, Zip-code is: 55744, 
UserID is: 117, Gender is: M,  Occupation id is: 17, Zip-code is: 33314, 
UserID is: 118, Gender is: M,  Occupation id is: 17, Zip-code is: 22315, 
UserID is: 119, Gender is: F,  Occupation id is: 10, Zip-code is: 77515, 
UserID is: 120, Gender is: M,  Occupation id is: 11, Zip-code is: 27106, 
UserID is: 121, Gender is: M,  Occupation id is: 7, Zip-code is: 75229, 
UserID is: 122, Gender is: F,  Occupation id is: 4, Zip-code is: 94305, 
UserID is: 123, Gender is: M,  Occupation id is: 9, Zip-code is: 67208, 
UserID is: 124, Gender is: M,  Occupation id is: 7, Zip-code is: 91356, 
UserID is: 125, Gender is: M,  Occupation id is: 14, Zip-code is: 01701, 
UserID is: 126, Gender is: M,  Occupation id is: 9, Zip-code is: 98117, 
UserID is: 127, Gender is: F,  Occupation id is: 3, Zip-code is: 01770, 
UserID is: 128, Gender is: M,  Occupation id is: 6, Zip-code is: 37922, 
UserID is: 129, Gender is: M,  Occupation id is: 11, Zip-code is: 20164, 
UserID is: 130, Gender is: M,  Occupation id is: 17, Zip-code is: 50021, 
UserID is: 131, Gender is: M,  Occupation id is: 4, Zip-code is: 06520, 
UserID is: 132, Gender is: M,  Occupation id is: 17, Zip-code is: 99709, 
UserID is: 133, Gender is: F,  Occupation id is: 0, Zip-code is: 55071, 
UserID is: 134, Gender is: M,  Occupation id is: 0, Zip-code is: 66212, 
UserID is: 135, Gender is: M,  Occupation id is: 4, Zip-code is: 20006, 
UserID is: 136, Gender is: M,  Occupation id is: 2, Zip-code is: 21202, 
UserID is: 137, Gender is: F,  Occupation id is: 6, Zip-code is: 78758, 
UserID is: 138, Gender is: M,  Occupation id is: 20, Zip-code is: 22203, 
UserID is: 139, Gender is: F,  Occupation id is: 20, Zip-code is: 45409, 
UserID is: 140, Gender is: F,  Occupation id is: 1, Zip-code is: 55107, 
UserID is: 141, Gender is: M,  Occupation id is: 13, Zip-code is: 62035, 
UserID is: 142, Gender is: M,  Occupation id is: 7, Zip-code is: 10011, 
UserID is: 143, Gender is: M,  Occupation id is: 3, Zip-code is: 64043, 
UserID is: 144, Gender is: M,  Occupation id is: 17, Zip-code is: 29401, 
UserID is: 145, Gender is: M,  Occupation id is: 4, Zip-code is: 19081, 
UserID is: 146, Gender is: F,  Occupation id is: 20, Zip-code is: 10954, 
UserID is: 147, Gender is: M,  Occupation id is: 4, Zip-code is: 91360, 
UserID is: 148, Gender is: M,  Occupation id is: 17, Zip-code is: 57747, 
UserID is: 149, Gender is: M,  Occupation id is: 1, Zip-code is: 29205, 
UserID is: 150, Gender is: M,  Occupation id is: 7, Zip-code is: 98144, 
UserID is: 151, Gender is: F,  Occupation id is: 20, Zip-code is: 85013, 
UserID is: 152, Gender is: M,  Occupation id is: 4, Zip-code is: 48104, 
UserID is: 153, Gender is: M,  Occupation id is: 10, Zip-code is: 51537, 
UserID is: 154, Gender is: M,  Occupation id is: 20, Zip-code is: 94530, 
UserID is: 155, Gender is: M,  Occupation id is: 12, Zip-code is: 07470, 
UserID is: 156, Gender is: F,  Occupation id is: 7, Zip-code is: 14519, 
UserID is: 157, Gender is: M,  Occupation id is: 16, Zip-code is: 12866, 
UserID is: 158, Gender is: M,  Occupation id is: 7, Zip-code is: 28754, 
UserID is: 159, Gender is: F,  Occupation id is: 0, Zip-code is: 37922, 
UserID is: 160, Gender is: M,  Occupation id is: 7, Zip-code is: 13021, 
UserID is: 161, Gender is: M,  Occupation id is: 16, Zip-code is: 98107-2117, 
UserID is: 162, Gender is: F,  Occupation id is: 4, Zip-code is: 93117, 
UserID is: 163, Gender is: M,  Occupation id is: 4, Zip-code is: 85013, 
UserID is: 164, Gender is: F,  Occupation id is: 13, Zip-code is: 94566, 
UserID is: 165, Gender is: M,  Occupation id is: 16, Zip-code is: 98502, 
UserID is: 166, Gender is: M,  Occupation id is: 4, Zip-code is: 92802, 
UserID is: 167, Gender is: F,  Occupation id is: 11, Zip-code is: 10022, 
UserID is: 168, Gender is: F,  Occupation id is: 0, Zip-code is: 46970, 
UserID is: 169, Gender is: M,  Occupation id is: 7, Zip-code is: 55439, 
UserID is: 170, Gender is: M,  Occupation id is: 11, Zip-code is: 07002, 
UserID is: 171, Gender is: F,  Occupation id is: 17, Zip-code is: 55441, 
UserID is: 172, Gender is: M,  Occupation id is: 3, Zip-code is: 07661, 
UserID is: 173, Gender is: M,  Occupation id is: 0, Zip-code is: 45237, 
UserID is: 174, Gender is: M,  Occupation id is: 16, Zip-code is: 21203, 
UserID is: 175, Gender is: F,  Occupation id is: 2, Zip-code is: 95123, 
UserID is: 176, Gender is: F,  Occupation id is: 3, Zip-code is: 55016, 
UserID is: 177, Gender is: M,  Occupation id is: 1, Zip-code is: 54016, 
UserID is: 178, Gender is: M,  Occupation id is: 17, Zip-code is: 53705, 
UserID is: 179, Gender is: M,  Occupation id is: 0, Zip-code is: 02135, 
UserID is: 180, Gender is: M,  Occupation id is: 12, Zip-code is: 01603, 
UserID is: 181, Gender is: M,  Occupation id is: 17, Zip-code is: 33186, 
UserID is: 182, Gender is: M,  Occupation id is: 4, Zip-code is: 03052, 
UserID is: 183, Gender is: F,  Occupation id is: 1, Zip-code is: 55407, 
UserID is: 184, Gender is: F,  Occupation id is: 0, Zip-code is: 19001, 
UserID is: 185, Gender is: M,  Occupation id is: 0, Zip-code is: 14468, 
UserID is: 186, Gender is: M,  Occupation id is: 5, Zip-code is: 91767, 
UserID is: 187, Gender is: F,  Occupation id is: 1, Zip-code is: 94061, 
UserID is: 188, Gender is: M,  Occupation id is: 16, Zip-code is: 79930, 
UserID is: 189, Gender is: M,  Occupation id is: 0, Zip-code is: 60076, 
UserID is: 190, Gender is: M,  Occupation id is: 17, Zip-code is: 55125, 
UserID is: 191, Gender is: M,  Occupation id is: 4, Zip-code is: 04915, 
UserID is: 192, Gender is: M,  Occupation id is: 1, Zip-code is: 10977, 
UserID is: 193, Gender is: F,  Occupation id is: 15, Zip-code is: 44106, 
UserID is: 194, Gender is: F,  Occupation id is: 10, Zip-code is: 29146, 
UserID is: 195, Gender is: M,  Occupation id is: 12, Zip-code is: 10458, 
UserID is: 196, Gender is: F,  Occupation id is: 9, Zip-code is: 94587, 
UserID is: 197, Gender is: M,  Occupation id is: 14, Zip-code is: 10023, 
UserID is: 198, Gender is: M,  Occupation id is: 12, Zip-code is: 55108, 
UserID is: 199, Gender is: M,  Occupation id is: 4, Zip-code is: 83706, 
UserID is: 200, Gender is: F,  Occupation id is: 4, Zip-code is: 84321, 
UserID is: 201, Gender is: F,  Occupation id is: 2, Zip-code is: 55117, 
UserID is: 202, Gender is: M,  Occupation id is: 4, Zip-code is: 53706, 
UserID is: 203, Gender is: F,  Occupation id is: 4, Zip-code is: 53715, 
UserID is: 204, Gender is: M,  Occupation id is: 7, Zip-code is: 92123, 
UserID is: 205, Gender is: M,  Occupation id is: 12, Zip-code is: 97333, 
UserID is: 206, Gender is: M,  Occupation id is: 17, Zip-code is: 20194, 
UserID is: 207, Gender is: M,  Occupation id is: 12, Zip-code is: 94115, 
UserID is: 208, Gender is: M,  Occupation id is: 17, Zip-code is: 55432, 
UserID is: 209, Gender is: M,  Occupation id is: 1, Zip-code is: 90048, 
UserID is: 210, Gender is: F,  Occupation id is: 10, Zip-code is: 25801, 
UserID is: 211, Gender is: M,  Occupation id is: 17, Zip-code is: 90620, 
UserID is: 212, Gender is: M,  Occupation id is: 16, Zip-code is: 53714, 
UserID is: 213, Gender is: F,  Occupation id is: 4, Zip-code is: 01609, 
UserID is: 214, Gender is: M,  Occupation id is: 20, Zip-code is: 80218, 
UserID is: 215, Gender is: M,  Occupation id is: 14, Zip-code is: 92075, 
UserID is: 216, Gender is: M,  Occupation id is: 13, Zip-code is: 52761, 
UserID is: 217, Gender is: M,  Occupation id is: 4, Zip-code is: 22903, 
UserID is: 218, Gender is: M,  Occupation id is: 14, Zip-code is: 95822, 
UserID is: 219, Gender is: F,  Occupation id is: 4, Zip-code is: 55113, 
UserID is: 220, Gender is: M,  Occupation id is: 12, Zip-code is: 22903, 
UserID is: 221, Gender is: F,  Occupation id is: 0, Zip-code is: 94063, 
UserID is: 222, Gender is: M,  Occupation id is: 1, Zip-code is: 55116, 
UserID is: 223, Gender is: M,  Occupation id is: 17, Zip-code is: 28262, 
UserID is: 224, Gender is: F,  Occupation id is: 4, Zip-code is: 14850, 
UserID is: 225, Gender is: M,  Occupation id is: 7, Zip-code is: 11215, 
UserID is: 226, Gender is: M,  Occupation id is: 1, Zip-code is: 94518, 
UserID is: 227, Gender is: M,  Occupation id is: 20, Zip-code is: 90291, 
UserID is: 228, Gender is: M,  Occupation id is: 15, Zip-code is: 55455, 
UserID is: 229, Gender is: M,  Occupation id is: 10, Zip-code is: 04576, 
UserID is: 230, Gender is: M,  Occupation id is: 1, Zip-code is: 43210, 
UserID is: 231, Gender is: M,  Occupation id is: 3, Zip-code is: 55455, 
UserID is: 232, Gender is: M,  Occupation id is: 20, Zip-code is: 55408, 
UserID is: 233, Gender is: F,  Occupation id is: 20, Zip-code is: 37919-4204, 
UserID is: 234, Gender is: M,  Occupation id is: 7, Zip-code is: 39652, 
UserID is: 235, Gender is: M,  Occupation id is: 0, Zip-code is: 98153, 
UserID is: 236, Gender is: M,  Occupation id is: 5, Zip-code is: 55126, 
UserID is: 237, Gender is: M,  Occupation id is: 6, Zip-code is: 46835, 
UserID is: 238, Gender is: F,  Occupation id is: 7, Zip-code is: 90291, 
UserID is: 239, Gender is: M,  Occupation id is: 19, Zip-code is: 94618, 
UserID is: 240, Gender is: M,  Occupation id is: 17, Zip-code is: 55113, 
UserID is: 241, Gender is: M,  Occupation id is: 20, Zip-code is: 55121, 
UserID is: 242, Gender is: F,  Occupation id is: 4, Zip-code is: 53706, 
UserID is: 243, Gender is: M,  Occupation id is: 16, Zip-code is: 11576, 
UserID is: 244, Gender is: M,  Occupation id is: 7, Zip-code is: 19072, 
UserID is: 245, Gender is: M,  Occupation id is: 16, Zip-code is: 66046, 
UserID is: 246, Gender is: F,  Occupation id is: 4, Zip-code is: 60625, 
UserID is: 247, Gender is: M,  Occupation id is: 17, Zip-code is: 94404, 
UserID is: 248, Gender is: M,  Occupation id is: 17, Zip-code is: 72703, 
UserID is: 249, Gender is: F,  Occupation id is: 14, Zip-code is: 48126, 
UserID is: 250, Gender is: M,  Occupation id is: 16, Zip-code is: 11229, 
UserID is: 251, Gender is: M,  Occupation id is: 17, Zip-code is: 55105, 
UserID is: 252, Gender is: M,  Occupation id is: 12, Zip-code is: 94112, 
UserID is: 253, Gender is: F,  Occupation id is: 11, Zip-code is: 97370, 
UserID is: 254, Gender is: M,  Occupation id is: 17, Zip-code is: 49015, 
UserID is: 255, Gender is: M,  Occupation id is: 0, Zip-code is: 85310, 
UserID is: 256, Gender is: M,  Occupation id is: 16, Zip-code is: 55076, 
UserID is: 257, Gender is: M,  Occupation id is: 18, Zip-code is: 55113, 
UserID is: 258, Gender is: M,  Occupation id is: 7, Zip-code is: 55436, 
UserID is: 259, Gender is: M,  Occupation id is: 1, Zip-code is: 60615, 
UserID is: 260, Gender is: M,  Occupation id is: 19, Zip-code is: 98126, 
UserID is: 261, Gender is: M,  Occupation id is: 20, Zip-code is: 75801, 
UserID is: 262, Gender is: F,  Occupation id is: 1, Zip-code is: 68503, 
UserID is: 263, Gender is: F,  Occupation id is: 7, Zip-code is: 22304, 
UserID is: 264, Gender is: M,  Occupation id is: 0, Zip-code is: 20755, 
UserID is: 265, Gender is: F,  Occupation id is: 7, Zip-code is: 55116, 
UserID is: 266, Gender is: M,  Occupation id is: 11, Zip-code is: 75229, 
UserID is: 267, Gender is: M,  Occupation id is: 12, Zip-code is: 55001, 
UserID is: 268, Gender is: F,  Occupation id is: 12, Zip-code is: 29708, 
UserID is: 269, Gender is: M,  Occupation id is: 2, Zip-code is: 55408, 
UserID is: 270, Gender is: M,  Occupation id is: 14, Zip-code is: 55414, 
UserID is: 271, Gender is: M,  Occupation id is: 4, Zip-code is: 48202, 
UserID is: 272, Gender is: M,  Occupation id is: 0, Zip-code is: 80302, 
UserID is: 273, Gender is: M,  Occupation id is: 4, Zip-code is: 55427, 
UserID is: 274, Gender is: M,  Occupation id is: 4, Zip-code is: 55455, 
UserID is: 275, Gender is: M,  Occupation id is: 0, Zip-code is: 48162, 
UserID is: 276, Gender is: M,  Occupation id is: 16, Zip-code is: 01982, 
UserID is: 277, Gender is: F,  Occupation id is: 1, Zip-code is: 98126, 
UserID is: 278, Gender is: M,  Occupation id is: 18, Zip-code is: 60482, 
UserID is: 279, Gender is: M,  Occupation id is: 14, Zip-code is: 91214, 
UserID is: 280, Gender is: M,  Occupation id is: 7, Zip-code is: 19118, 
UserID is: 281, Gender is: F,  Occupation id is: 0, Zip-code is: 94117, 
UserID is: 282, Gender is: M,  Occupation id is: 17, Zip-code is: 94401, 
UserID is: 283, Gender is: M,  Occupation id is: 0, Zip-code is: 10003, 
UserID is: 284, Gender is: M,  Occupation id is: 12, Zip-code is: 91910, 
UserID is: 285, Gender is: F,  Occupation id is: 0, Zip-code is: 94109, 
UserID is: 286, Gender is: M,  Occupation id is: 1, Zip-code is: 54601, 
UserID is: 287, Gender is: M,  Occupation id is: 13, Zip-code is: 94706, 
UserID is: 288, Gender is: F,  Occupation id is: 12, Zip-code is: 97119, 
UserID is: 289, Gender is: F,  Occupation id is: 0, Zip-code is: 11801, 
UserID is: 290, Gender is: F,  Occupation id is: 20, Zip-code is: 94591, 
UserID is: 291, Gender is: M,  Occupation id is: 12, Zip-code is: 55110, 
UserID is: 292, Gender is: M,  Occupation id is: 7, Zip-code is: 19406, 
UserID is: 293, Gender is: M,  Occupation id is: 1, Zip-code is: 55337-4056, 
UserID is: 294, Gender is: F,  Occupation id is: 9, Zip-code is: 43147, 
UserID is: 295, Gender is: M,  Occupation id is: 0, Zip-code is: 80203, 
UserID is: 296, Gender is: M,  Occupation id is: 5, Zip-code is: 89432, 
UserID is: 297, Gender is: M,  Occupation id is: 2, Zip-code is: 97211, 
UserID is: 298, Gender is: F,  Occupation id is: 4, Zip-code is: 19010, 
UserID is: 299, Gender is: M,  Occupation id is: 12, Zip-code is: 97370, 
UserID is: 300, Gender is: M,  Occupation id is: 7, Zip-code is: 78664, 
UserID is: 301, Gender is: M,  Occupation id is: 4, Zip-code is: 61820, 
UserID is: 302, Gender is: M,  Occupation id is: 4, Zip-code is: 04901, 
UserID is: 303, Gender is: M,  Occupation id is: 7, Zip-code is: 20006, 
UserID is: 304, Gender is: M,  Occupation id is: 0, Zip-code is: 55414, 
UserID is: 305, Gender is: F,  Occupation id is: 0, Zip-code is: 55414, 
UserID is: 306, Gender is: M,  Occupation id is: 0, Zip-code is: 53051, 
UserID is: 307, Gender is: M,  Occupation id is: 16, Zip-code is: 90027, 
UserID is: 308, Gender is: M,  Occupation id is: 2, Zip-code is: 10025, 
UserID is: 309, Gender is: M,  Occupation id is: 4, Zip-code is: 16801, 
UserID is: 310, Gender is: F,  Occupation id is: 4, Zip-code is: 31207, 
UserID is: 311, Gender is: M,  Occupation id is: 4, Zip-code is: 31201, 
UserID is: 312, Gender is: F,  Occupation id is: 2, Zip-code is: 22207, 
UserID is: 313, Gender is: F,  Occupation id is: 4, Zip-code is: 02138, 
UserID is: 314, Gender is: F,  Occupation id is: 9, Zip-code is: 46911, 
UserID is: 315, Gender is: F,  Occupation id is: 1, Zip-code is: 55105, 
UserID is: 316, Gender is: M,  Occupation id is: 13, Zip-code is: 90740, 
UserID is: 317, Gender is: M,  Occupation id is: 7, Zip-code is: 38555, 
UserID is: 318, Gender is: F,  Occupation id is: 13, Zip-code is: 55104, 
UserID is: 319, Gender is: F,  Occupation id is: 6, Zip-code is: 33436, 
UserID is: 320, Gender is: M,  Occupation id is: 6, Zip-code is: 99516, 
UserID is: 321, Gender is: M,  Occupation id is: 4, Zip-code is: 55128, 
UserID is: 322, Gender is: M,  Occupation id is: 17, Zip-code is: 55117, 
UserID is: 323, Gender is: M,  Occupation id is: 12, Zip-code is: 53716, 
UserID is: 324, Gender is: M,  Occupation id is: 17, Zip-code is: 55106, 
UserID is: 325, Gender is: F,  Occupation id is: 3, Zip-code is: 55112, 
UserID is: 326, Gender is: M,  Occupation id is: 11, Zip-code is: 25302, 
UserID is: 327, Gender is: M,  Occupation id is: 18, Zip-code is: 55448, 
UserID is: 328, Gender is: M,  Occupation id is: 12, Zip-code is: 80401, 
UserID is: 329, Gender is: M,  Occupation id is: 7, Zip-code is: 02115, 
UserID is: 330, Gender is: M,  Occupation id is: 7, Zip-code is: 92065, 
UserID is: 331, Gender is: M,  Occupation id is: 7, Zip-code is: 55902, 
UserID is: 332, Gender is: M,  Occupation id is: 1, Zip-code is: 55109, 
UserID is: 333, Gender is: M,  Occupation id is: 2, Zip-code is: 55410, 
UserID is: 334, Gender is: F,  Occupation id is: 2, Zip-code is: 55113, 
UserID is: 335, Gender is: M,  Occupation id is: 18, Zip-code is: 55434, 
UserID is: 336, Gender is: M,  Occupation id is: 0, Zip-code is: 98765, 
UserID is: 337, Gender is: M,  Occupation id is: 19, Zip-code is: 80205, 
UserID is: 338, Gender is: M,  Occupation id is: 7, Zip-code is: 55116, 
UserID is: 339, Gender is: M,  Occupation id is: 7, Zip-code is: 80207, 
UserID is: 340, Gender is: F,  Occupation id is: 3, Zip-code is: 28001, 
UserID is: 341, Gender is: F,  Occupation id is: 13, Zip-code is: 92119, 
UserID is: 342, Gender is: M,  Occupation id is: 12, Zip-code is: 55076, 
UserID is: 343, Gender is: F,  Occupation id is: 3, Zip-code is: 55127, 
UserID is: 344, Gender is: M,  Occupation id is: 14, Zip-code is: 75034, 
UserID is: 345, Gender is: M,  Occupation id is: 12, Zip-code is: 94114, 
UserID is: 346, Gender is: F,  Occupation id is: 0, Zip-code is: 55110, 
UserID is: 347, Gender is: F,  Occupation id is: 1, Zip-code is: 55305, 
UserID is: 348, Gender is: M,  Occupation id is: 7, Zip-code is: 55110, 
UserID is: 349, Gender is: M,  Occupation id is: 10, Zip-code is: 08035, 
UserID is: 350, Gender is: M,  Occupation id is: 20, Zip-code is: 08035, 
UserID is: 351, Gender is: M,  Occupation id is: 4, Zip-code is: 55105, 
UserID is: 352, Gender is: M,  Occupation id is: 4, Zip-code is: 60115, 
UserID is: 353, Gender is: F,  Occupation id is: 7, Zip-code is: 92625, 
UserID is: 354, Gender is: M,  Occupation id is: 1, Zip-code is: 55117, 
UserID is: 355, Gender is: M,  Occupation id is: 3, Zip-code is: 55107, 
UserID is: 356, Gender is: M,  Occupation id is: 20, Zip-code is: 55101, 
UserID is: 357, Gender is: M,  Occupation id is: 0, Zip-code is: 98103, 
